Name	Element	Type	#	L	A	D	Description	_oneTime	_perTurn	_override	_attack	Cost	_cost	_lifetime	_cardUsed
Energy Orb	Base	Device	10	4			Tap: +1 Energy		1		0	3	3.00	3	FALSE
Bot	Base	Minion	10	3	2	0					1.5	3	3.00	2	FALSE
Mind Link	Base	Enchantment	10				At the beginning of the turn, draw a card		1.00		0	1	1.60	1.60	FALSE
Meditate	Base	Spell	10				Draft a card to your hand	2.00			0	1	1.00	0	TRUE
Fire Ball	Fire	Spell	3				Damage up to 3 Minions or Devices by 1	2.25			0	1	1.25	0	TRUE
Magma Spear	Fire	Spell	2				Damage a Minion or Device by X, where X is the number of Devices in play	2.25			0	1	1.25	0	TRUE
Rally	Fire	Spell	2				You may play your attack phase now	2.00			0	1	1.00	0	TRUE
Overheat	Fire	Spell	1				Take 1 damage. While this card is in play, increase all damage you do or any cards you control by 2.	3.50			0	2	2.50	0	TRUE
Burn	Fire	Enchantment	2				At the beginning of the turn, this Minion takes 1 damage. Whenever this Minion attacks, Minions blocking it receive 2 additional damage.		0.75		0	1	1.20	1.60	FALSE
Combust	Fire	Enchantment	2				At the beginning of the turn, this Minion takes 2 damage. Whenever this Minion attacks, Minions blocking it receive 4 additional damage.		1.5		0	2	2.40	1.60	FALSE
Fire Spirit	Fire	Minion	3	1	3	0					2.25	2	2.25	1	FALSE
Inferno Spirit	Fire	Minion	1	3	3	0					2.25	4	4.50	2	FALSE
Bomb Devil	Fire	Minion	2	5	0	1	When this minion is destroyed, do 3 damage to the attacking Minion, if any.	2.25			0	2	2.25	8	FALSE
Fire Turret	Fire	Device	1	3			T: Damage up to 2 Minions or Devices by 1		1.5		0	3	3.00	2	FALSE
Combustion Engine	Fire	Device	2	4			T: Destroy 1 minion you control, damage all Minions and Devices controlled by a player by 1.		1.75		0	5	5.25	3	FALSE
Heat Engine	Fire	Device	1	4			T: Take 2 damage, damage all Minions controlled by a player by 2		1		0	3	3.00	3	FALSE
Recycling Engine	Fire	Device	2	3			T: Destroy 1 minion. Gain energy as much as the energy required to summon the minion.		1.33		0	2	2.67	2	FALSE
Blast Furnace	Fire	Device	3	4			T: Take 1 damage, draw 2 cards		1.00		0	3	3.00	3	FALSE
Thermo Cycle	Fire	Device	3	4			T: Take 1 damage, untap 2 devices		1.45		0	4	4.34	3	FALSE
Purify	Earth	Spell	2				Reveal the top 3 cards of the deck. Put any Minions in hand, discard the rest. Draw a card	2.50			0	1	1.50	0	TRUE
Pottery	Earth	Spell	2				Draft a bot into hand	2.00			0	1	1.00	0	TRUE
Evolution	Earth	Spell	2				Put a Minion in play back in your hand. Put a Minion in your discard pile with summoning cost at most one more of the summoning cost of that minion into play.	3.00			0	2	2.00	0	TRUE
Alpha Minion	Earth	Enchantment	2				At the beginning of the turn, you may draft a Bot		1.00		0	1	1.60	1.60	FALSE
